i,j,X-Field,Y-Field,R-Field,PredictedX,PredictedY,RealX,RealY,Distortion
-21,-21,-2.68614000E+01,-1.59015000E+01,3.01612000E+01,-6.47995000E+00,-3.64484000E+00,-5.63655000E+00,-3.17045000E+00,-13.02%
-21,-20,-2.68614000E+01,-1.51801000E+01,2.98807000E+01,-6.47995000E+00,-3.47128000E+00,-5.64977000E+00,-3.02655000E+00,-12.81%
-21,-19,-2.68614000E+01,-1.44536000E+01,2.96095000E+01,-6.47995000E+00,-3.29771000E+00,-5.66246000E+00,-2.88169000E+00,-12.62%
-21,-18,-2.68614000E+01,-1.37224000E+01,2.93479000E+01,-6.47995000E+00,-3.12415000E+00,-5.67462000E+00,-2.73588000E+00,-12.43%
-21,-17,-2.68614000E+01,-1.29866000E+01,2.90967000E+01,-6.47995000E+00,-2.95059000E+00,-5.68623000E+00,-2.58917000E+00,-12.25%
-21,-16,-2.68614000E+01,-1.22464000E+01,2.88563000E+01,-6.47995000E+00,-2.77702000E+00,-5.69727000E+00,-2.44160000E+00,-12.08%
-21,-15,-2.68614000E+01,-1.15021000E+01,2.86272000E+01,-6.47995000E+00,-2.60346000E+00,-5.70772000E+00,-2.29320000E+00,-11.92%
-21,-14,-2.68614000E+01,-1.07538000E+01,2.84099000E+01,-6.47995000E+00,-2.42989000E+00,-5.71757000E+00,-2.14401000E+00,-11.77%
-21,-13,-2.68614000E+01,-1.00017000E+01,2.82051000E+01,-6.47995000E+00,-2.25633000E+00,-5.72680000E+00,-1.99408000E+00,-11.62%
-21,-12,-2.68614000E+01,-9.24620000E+00,2.80131000E+01,-6.47995000E+00,-2.08277000E+00,-5.73541000E+00,-1.84346000E+00,-11.49%
-21,-11,-2.68614000E+01,-8.48740000E+00,2.78345000E+01,-6.47995000E+00,-1.90920000E+00,-5.74337000E+00,-1.69218000E+00,-11.37%
-21,-10,-2.68614000E+01,-7.72560000E+00,2.76697000E+01,-6.47995000E+00,-1.73564000E+00,-5.75069000E+00,-1.54031000E+00,-11.25%
-21,-9,-2.68614000E+01,-6.96103000E+00,2.75191000E+01,-6.47995000E+00,-1.56208000E+00,-5.75733000E+00,-1.38788000E+00,-11.15%
